year,low_fee_value,high_fee_value
0,10000.00,10000.00
1,16697.00,16625.00
2,23860.78,23664.06
3,31523.88,31143.07
4,39721.09,39089.51
5,48489.65,47532.60
6,57869.38,56503.39
7,67902.88,66034.85
8,78635.71,76162.03
9,90116.62,86922.16
10,102397.74,98354.79
11,115534.87,110501.97
12,129587.65,123408.34
13,144619.91,137121.36
14,160699.91,151691.45
15,177900.70,167172.16
16,196300.38,183620.42
17,215982.51,201096.70
18,237036.49,219665.24
19,259557.94,239394.32
20,283649.12,260356.46
21,309419.47,282628.74
22,336986.00,306293.04
23,366473.93,331436.35
24,398017.16,358151.13
25,431758.96,386535.57
26,467852.56,416694.04
27,506461.88,448737.42
28,547762.27,482783.51
29,591941.31,518957.48
30,639199.61,557392.32
