bond,shock_bp,duration_convexity_est_%,full_reprice_%,gap_%
2yr,-200,3.876,3.878,0.0018
2yr,-100,1.915,1.915,0.0002
2yr,100,-1.869,-1.87,-0.0002
2yr,200,-3.693,-3.695,-0.0017
5yr,-200,9.327,9.346,0.0183
5yr,-100,4.548,4.551,0.0023
5yr,100,-4.318,-4.32,-0.0022
5yr,200,-8.405,-8.422,-0.0172
10yr,-200,17.488,17.599,0.1114
10yr,-100,8.363,8.376,0.0135
10yr,100,-7.601,-7.614,-0.0128
10yr,200,-14.44,-14.539,-0.0998
30yr,-200,40.441,42.035,1.5934
30yr,-100,18.298,18.482,0.1845
30yr,100,-14.451,-14.611,-0.1599
30yr,200,-25.057,-26.254,-1.1969
